age,household_income,gender,store_location,typical_queue_wait_time,distance_to_store,percent_self_service_checkout_uses,children,fruit_and_veg_items,meat_items,cupboard_items,frozen_items,toiletries_items,other_items,has_loyalty_card,brand_loyalty,typical_visit_time,typical_shopping_mission,brings_own_bag,average_time_in_store,typical_payment_method,satisfaction,Customer_Comment
37,42157,Male,Norwich,9.5,0.6,0.41,3,9,2,3,3,0,4,No,Low,Morning,Top-up,No,42.9,Card,High,"Generally a positive visit this afternoon doing a quick top-up shop. good value for money. Queues moved fast. Overall, a solid experience."
65,21969,Male,Dereham,14.3,0.9,0.08,0,7,1,4,2,1,3,Yes,Medium,Afternoon,Top-up,No,69,Card,High,A good experience overall this afternoon doing a quick top-up shop. verythe layout was easy to navigate and produce looked fresh. Would recommend based on today.
49,37853,Male,Norwich,14.6,3,0.27,0,4,6,10,8,3,3,No,Medium,Afternoon,Weekly shop,Yes,65.8,Card,Medium,An average visit overall on my way home doing a quick top-up shop. somewhatthere seemed to be enough staff around. Fine for a quick shop.
20,,Prefer not to say,Dereham,10.3,,0.74,0,4,2,2,1,0,2,No,Low,Morning,Top-up,Yes,54.5,Card,High,
20,34884,Female,Wymondham,6.8,0.9,0.86,0,2,2,3,1,0,4,Yes,Low,Evening,Top-up,No,67.5,Card,Very High,Superb visit — very happy after work doing a full weekly shop. surprisinglymy order was ready on time. I’d definitely recommend it.
36,,Male,Dereham,13.8,2.8,0.64,3,12,6,6,8,3,2,Yes,Medium,Afternoon,Weekly shop,Yes,49.1,Google Pay,Medium,
41,17161,Male,Fakenham,12.2,4.8,0.2,2,14,5,6,3,1,6,No,Medium,Afternoon,Weekly shop,No,58.3,Card,Low,
53,67022,Non-binary,Fakenham,12.4,0.9,0.34,1,6,2,34,6,4,3,Yes,Low,Morning,Bulk shop,No,48.5,Card,High,
36,12469,Male,Fakenham,12.2,,0.37,1,5,3,5,4,1,7,No,High,Evening,Weekly shop,No,59.4,Apple Pay,Low,"Not the best visit at the weekend doing just a couple of items. the store felt understaffed and I couldn’t find basic staples. I had to query a price at the till, and produce didn’t look fresh. I expected more."
24,,Male,Norwich,9.8,1.2,0.82,0,2,3,2,3,0,2,No,High,Morning,Top-up,No,47,Cajrd,Medium,Neither great nor terrible today doing just a couple of items. a bitoffers were clearly labelled.
22,20289,Male,Fakenham,12,1.7,0.66,1,4,3,2,,0,5,No,Low,Afternoon,Top-up,Yes,42.7,Apple Pay,Very High,Top-notch service today at the weekend doing a full weekly shop. reallythe receipt matched the shelf prices and it felt clean and organised. Getting in and out was hassle-free. This is why I keep coming back.
39,44514,Male,Fakenham,12.5,,0.4,1,7,4,7,6,5,0,Yes,Medium,Evening,Weekly shop,Yes,105.8,Card,Medium,"It was fine, nothing special this morning doing a quick top-up shop. it was hard to find things, and the promotions were easy to understand."
59,42458,Female,Fakenham,14.6,1,0.37,1,11,3,19,5,6,1,No,Medium,Morning,Bulk shop,Yes,110.1,Cash,Medium,
66,50233,Male,Thetford,16.2,2.3,0.01,1,7,6,8,3,4,4,No,Medium,Afternoon,Weekly shop,No,76.7,Card,Very Low,
27,47691,Non-binary,Dereham,12.5,2.1,0.71,0,6,2,5,,1,1,Yes,Medium,Morning,Top-up,Yes,48.8,Card,Very High,"Really great shop from start to finish on my way home doing some bits for dinner. quitethe shelves were well stocked and the entrance and exits felt well managed. I was served quickly, and bakery items were great. This is why I keep coming back."
54,103245,Male,Dereham,13,0.6,0.31,1,5,11,17,4,6,1,No,Medium,Morning,Bulk shop,No,95.4,Card,Medium,"A fairly standard shopping trip after work doing just a couple of items. a bittoo many items were out of stock and I saved a bit with the promotions. No major complaints, but nothing stood out either."
27,21486,Male,Wymondham,6.4,1,0.58,0,11,6,18,8,6,0,Yes,Low,Afternoon,Bulk shop,Yes,82.1,Card,Very High,
55,56213,Prefer not to say,Wymondham,14.8,1.2,0.11,0,3,4,8,3,1,5,No,Medium,Morning,Weekly shop,No,44,Card,Low,Not the best visit this morning doing a bigger shop than usual. especiallytoo many substitutions. There were spillages that hadn’t been dealt with.
21,30390,Female,Thetford,12.9,,0.83,0,5,1,3,1,1,2,No,High,Morning,Top-up,Yes,46.1,Apple Pay,Medium,"Neither great nor terrible at the weekend doing some bits for dinner. fresh food quality was good and loyalty pricing was confusing. No major complaints, but nothing stood out either."
42,33489,Male,Norwich,12.3,2.3,0.29,2,7,1,5,4,0,4,No,Medium,Morning,Top-up,No,72.2,Card,Medium,"An average visit overall this afternoon doing a full weekly shop. somewhatI couldn’t find the discounts advertised, and meat and veg looked excellent. Room to improve in places."
26,36980,Non-binary,Dereham,7.4,1.3,0.61,1,7,11,22,11,2,0,Yes,Low,Morning,Bulk shop,Yes,66.5,Cash,High,
42,60888,Female,Thetford,11.1,,0.29,1,5,4,13,4,1,5,No,Medium,Morning,Weekly shop,No,51.7,Google Pay,High,"Generally a positive visit today doing just a couple of items. help was available when I needed it. Although, i had to change my meal plan because things weren’t there and the layout was easy to navigate. Good enough that I’ll come back."
48,37172,Female,Fakenham,16.5,1.5,0.39,1,3,3,23,7,1,2,Yes,Medium,Evening,Weekly shop,Yes,118.1,Card,Very High,Top-notch service today at the weekend doing some bits for dinner. reallystaff were friendly and the store was clean. Checkout was quick.
67,47989,Female,Wymondham,13.4,1.3,0.35,1,9,4,9,4,6,3,No,High,Evening,Weekly shop,No,48.2,Card,High,"I was happy with my visit today doing a full weekly shop. parking was easy, and the fresh areas looked spotless. Overall, a solid experience."
38,47077,Female,Norwich,16.8,2.8,0.47,1,13,9,3,6,2,6,No,High,Morning,Weekly shop,Yes,89.8,Cash,Very Low,
37,72056,Male,Norwich,10.3,2.3,0.09,1,5,2,2,3,1,3,No,Medium,Afternoon,Top-up,No,55.7,Card,Medium,
27,22547,Female,Thetford,12.2,1,0.53,1,2,4,20,12,10,2,Yes,Medium,Morning,Bulk shop,Yes,49.4,Card,Medium,"An average visit overall this afternoon doing a few essentials. my order wasn’t ready when I arrived, and the gates kept beeping for no reason. No major complaints, but nothing stood out either."
52,21126,Male,Wymondham,7.3,1.1,0.22,1,4,4,22,7,16,0,Yes,Low,Morning,Bulk shop,Yes,73.5,Cash,High,I was happy with my visit at the weekend doing just a couple of items. my order was ready on time. Good enough that I’ll come back.
38,28835,Male,Dereham,14.6,,0.2,0,10,5,6,5,1,2,Yes,High,Morning,Weekly shop,Yes,81,Google Pay,Low,Not the best visit at the weekend doing a quick top-up shop. reallythe store felt messy and I couldn’t tell what was actually on deal. It was difficult to find a space.
48,20123,Male,Norwich,11.7,1.3,0.39,0,6,7,12,6,7,7,No,Medium,Evening,Bulk shop,Yes,70.3,,High,I was happy with my visit this morning doing some bits for dinner. click & collect was efficient. Good value for money. Good enough that I’ll come back.
41,23745,Female,Fakenham,10.7,,0.37,2,8,4,12,3,6,4,No,Low,Morning,Weekly shop,Yes,57.2,Apple Pay,High,Generally a positive visit on my way home doing a quick top-up shop. the entrance and exits felt well managed. The layout was easy to navigate. I’d happily shop here again.
28,63313,Male,Dereham,14.5,0.9,0.2,0,5,2,1,3,0,4,No,Low,Afternoon,Top-up,No,71.3,Card,Low,
42,33849,Male,Fakenham,11.8,1.7,0.33,1,16,8,10,3,2,8,No,Medium,Evening,Bulk shop,Yes,49.5,Card,Very Low,
56,58612,Male,Norwich,17.9,1.1,0.04,1,17,3,10,1,1,5,Yes,High,Evening,Weekly shop,No,87.2,Card,Low,
29,44692,Female,Fakenham,11.3,3.9,0.25,1,7,3,14,7,9,5,No,Low,Afternoon,Bulk shop,Yes,66.4,Apple Pay,Medium,"It was fine, nothing special this morning doing a full weekly shop. in placesfresh food quality was disappointing, and aisles were awkward to navigate. Self-checkout kept flagging errors."
59,52197,Male,Thetford,13.7,1.9,0.08,1,6,12,10,6,1,0,Yes,Medium,Afternoon,Weekly shop,No,89.2,Card,Low,I wasn’t very impressed this time on my way home doing a bigger shop than usual. my order wasn’t ready when I arrived. Aisles were awkward to navigate. Not sure I’ll rush back.
61,24170,Male,Thetford,8.5,2.6,0.2,0,8,2,1,1,1,3,No,Low,Morning,Top-up,No,62.6,Card,High,A good experience overall this afternoon doing a full weekly shop. bakery items were great and the shop felt well looked after. Staff were polite and approachable and the entrance and exits felt well managed. Good enough that I’ll come back.
53,99547,Male,Wymondham,14.5,1.2,0.25,1,5,4,2,3,1,3,No,High,Afternoon,Top-up,Yes,50.9,Card,Low,I wasn’t very impressed this time this afternoon doing a quick top-up shop. seriouslyI had to wait for an approval at self-checkout and it was hard to find things. Hope it’s better next time.
75,103915,Female,Fakenham,13.2,1.9,0,1,5,1,7,1,0,2,No,Medium,Evening,Top-up,Yes,85.5,Card,Medium,"A fairly standard shopping trip after work doing some bits for dinner. at timesaccess was straightforward and I had to query a price at the till. Also, the loyalty discounts worked smoothly. Room to improve in places."
20,27723,Female,Fakenham,14.6,2.8,0.7,0,13,5,4,2,1,2,No,Medium,Morning,Weekly shop,Yes,73.1,Apple Pay,Low,"Not the best visit on my way home doing just a couple of items. genuinelyI had to change my meal plan because things weren’t there, and getting out took longer than it should have. I expected more."
75,46847,Female,Wymondham,21,1.6,0.02,1,14,12,5,1,1,2,No,High,Morning,Weekly shop,Yes,122.3,Apple Pay,Very Low,Not acceptable today on my way home doing just a couple of items. especiallyaisles were awkward to navigate.
20,62332,Female,Fakenham,8.5,1.7,0.67,1,8,2,8,9,4,4,No,Medium,Evening,Weekly shop,Yes,46.2,,Medium,Neither great nor terrible at the weekend doing some bits for dinner. a bitthe shop felt well looked after. Fine for a quick shop.
58,36749,Female,Fakenham,10.5,1.3,0.24,1,8,6,6,4,3,4,No,Medium,Afternoon,Weekly shop,Yes,88.8,Cash,High,"Pretty pleased with how it went at the weekend doing a bigger shop than usual. I was in and out quickly, and the receipt matched the shelf prices. Good enough that I’ll come back."
32,106043,Male,Fakenham,11.4,,0.62,0,12,2,7,4,2,2,No,Medium,Afternoon,Weekly shop,No,56.1,Cash,High,I was happy with my visit at the weekend doing a quick top-up shop. verythe entrance and exits felt well managed and the store felt well staffed. Good enough that I’ll come back.
49,34346,Male,Norwich,14.4,1,0.14,1,4,6,6,3,4,3,No,Medium,Morning,Weekly shop,Yes,83,Card,Medium,"It was fine, nothing special on my way home doing just a couple of items. aisles were awkward to navigate."
69,63528,Male,Norwich,9.8,,0.26,0,2,1,2,0,5,4,No,Medium,Afternoon,Top-up,No,54.6,Cash,High,A good experience overall this afternoon doing a few essentials. genuinelyI found good deals without hunting. I was served quickly. Would recommend based on today.
45,48595,Female,Fakenham,13,1.7,0.11,0,3,2,2,0,0,5,Yes,Medium,Evening,Top-up,Yes,28.1,Cash,Medium,
44,30660,Male,Dereham,18.4,,0.16,1,2,4,22,7,3,1,Yes,High,Afternoon,Bulk shop,Yes,35.3,Cash,Very Low,
20,22722,Male,Dereham,4.8,1.6,0.82,0,5,1,1,1,0,3,No,Medium,Morning,Top-up,Yes,39.2,Card,Very High,
53,22770,Female,Wymondham,7.8,0.6,0.05,0,10,4,12,1,2,3,Yes,Low,Afternoon,Weekly shop,No,72.7,Card,Very High,
26,21565,Female,Norwich,4.5,1.3,0.69,2,3,3,21,3,18,0,Yes,Low,Morning,Bulk shop,No,65.2,Card,Medium,"It was fine, nothing special this morning doing just a couple of items. produce looked fresh. Fine for a quick shop."
28,19106,Male,Fakenham,10.1,1.3,0.76,0,8,5,4,5,6,3,Yes,Medium,Evening,Weekly shop,Yes,43,Card,High,"I was happy with my visit after work doing just a couple of items. produce looked fresh, and the offers were worthwhile. Good enough that I’ll come back."
75,82357,Male,Fakenham,16.1,2.5,0.06,2,14,8,4,5,2,6,No,High,Afternoon,Weekly shop,No,93.2,Card,Very Low,"Really unhappy with this visit on my way home doing some bits for dinner. it was difficult to find a space, and several shelves were empty. The substitutions didn’t make sense."
75,36362,Male,Norwich,8.4,3.3,0.02,0,7,1,1,,1,3,Yes,Medium,Evening,Top-up,No,75.6,Card,Low,A bit disappointing overall today doing a quick top-up shop. the machine rejected my card once. Not sure I’ll rush back.
65,50797,Prefer not to say,Dereham,14.6,2.2,0.06,0,4,0,1,1,0,1,Yes,Low,Morning,Top-up,No,60.5,Card,Medium,"Neither great nor terrible this morning doing a few essentials. it felt safe and well organised and several shelves were empty. No major complaints, but nothing stood out either."
22,47199,Male,Thetford,9.3,0.7,0.82,0,4,1,2,1,0,2,Yes,Medium,Evening,Top-up,No,60.8,Card,High,
22,29955,Female,Wymondham,8,0.6,0.7,0,8,2,2,2,0,2,Yes,Low,Evening,Top-up,No,41.6,Card,Very High,Top-notch service today today doing a bigger shop than usual. verythe entrance and exits felt well managed. Someone on the floor actually walked me to the right aisle. This is why I keep coming back.
35,28280,Male,Dereham,18.6,4.1,0.22,1,13,9,13,10,3,0,No,Medium,Evening,Bulk shop,Yes,79.3,Cash,Very Low,
73,53579,Female,Thetford,12.8,1.4,0.07,0,4,3,2,1,1,2,No,Medium,Afternoon,Top-up,No,112.1,Cash,High,"A good experience overall after work doing a few essentials. quiteoffers were clearly labelled. Signage made things easy to find, and plenty of parking available."
20,18538,Male,Fakenham,5.8,1.5,0.52,0,6,1,2,1,1,4,Yes,Low,Morning,Top-up,No,50.1,Card,Very High,
20,21875,Female,Wymondham,11.2,,0.73,0,2,1,5,1,1,4,Yes,Medium,Afternoon,Top-up,No,66.5,Card,Very High,"Top-notch service today today doing a full weekly shop. quiteeverything I needed was in stock. Staff were friendly, and the layout was easy to navigate. This is why I keep coming back."
38,30957,Male,Dereham,14.9,,0.49,2,7,3,26,6,8,3,No,Low,Evening,Bulk shop,Yes,62.4,Card,High,Generally a positive visit at the weekend doing some bits for dinner. checkout was quick. Good availability across the aisles.
27,34685,Female,Dereham,12.4,0.7,0.7,0,5,3,16,5,3,5,Yes,Low,Evening,Weekly shop,Yes,75.1,Cash,Very High,"Excellent experience after work doing a full weekly shop. surprisinglystaff opened another till quickly. That said, it was difficult to find a space, and the entrance and exits felt well managed. This is why I keep coming back."
29,59022,Female,Dereham,8.4,,0.71,1,8,8,28,5,9,0,Yes,Low,Morning,Bulk shop,Yes,91.3,Card,Very High,Excellent experience this morning doing some bits for dinner. quiteclick & collect was efficient. The entrance and exits felt well managed and payment was quick and easy. Everything was where i expected it to be.
52,19515,Other,Dereham,13.8,3.1,0.1,2,15,6,5,2,2,4,Yes,High,Evening,Weekly shop,No,70.5,Card,Very Low,"Not acceptable today this afternoon doing some bits for dinner. the gates kept beeping for no reason, and it was difficult to find a space. Aisles were cluttered and i couldn’t tell what was actually on deal."
37,20222,Female,Fakenham,4.7,1.4,0.42,2,5,2,7,1,0,7,Yes,Medium,Morning,Top-up,Yes,67.1,Card,Very High,"Really great shop from start to finish this afternoon doing a bigger shop than usual. reallypricing was competitive. That said, it was difficult to find a space and staff were friendly. It felt safe and well organised and it felt clean and organised. This is why I keep coming back."
44,31456,Prefer not to say,Wymondham,10.5,1.7,0.31,1,8,4,11,4,2,2,No,Medium,Evening,Weekly shop,Yes,42.9,Apple Pay,Medium,"It was fine, nothing special today doing a bigger shop than usual. at timesthere seemed to be enough staff around. Fresh food quality was disappointing."
49,23447,Female,Norwich,9.1,2.4,0.22,0,5,2,10,6,4,1,No,Medium,Evening,Weekly shop,No,49.2,Card,Medium,An average visit overall this afternoon doing a bigger shop than usual. payment was quick and easy and I had to change my meal plan because things weren’t there. Self-checkout kept flagging errors. Fine for a quick shop.
69,,Female,Dereham,16.6,1.4,0.06,0,5,3,1,1,0,1,No,Medium,Afternoon,Top-up,No,42,Card,Very Low,Very disappointing experience today doing just a couple of items. queues were far too long. Pricing on the shelf didn’t match the till. I’ll be shopping elsewhere next time.
22,22637,Female,Thetford,20.4,0.8,0.58,0,12,4,5,2,1,2,No,Medium,Evening,Weekly shop,No,51.8,Card,Very Low,
48,36443,Male,Fakenham,11.2,2,0.14,0,5,1,2,1,0,4,No,Low,Afternoon,Top-up,No,41.8,Card,Medium,A fairly standard shopping trip this morning doing some bits for dinner. overallpopular items were available.
38,68401,Female,Dereham,12.9,0.5,0.31,2,4,8,10,16,8,0,No,Low,Morning,Bulk shop,Yes,43.1,Card,Medium,
41,25641,Female,Thetford,17,1.8,0.41,0,5,0,1,0,0,4,Yes,High,Evening,Top-up,Yes,79.8,Card,Low,Not the best visit today doing a quick top-up shop. seriouslythe substitutions didn’t make sense. Parking was a hassle. I expected more.
66,43209,Male,Dereham,7.8,2,0.02,1,7,9,2,2,4,3,Yes,High,Evening,Weekly shop,Yes,78.2,Card,Medium,Neither great nor terrible this afternoon doing some bits for dinner. at timesmy order was ready on time.
47,50783,Male,Dereham,7.4,1.1,0.4,2,9,2,3,1,3,3,Yes,Medium,Morning,Top-up,Yes,67.6,Card,Very High,"Really great shop from start to finish on my way home doing just a couple of items. pleasantlyfresh food quality was good and offers were clearly labelled. Everything was where i expected it to be, and payment was quick and easy. Absolutely spot on."
47,42790,Female,Fpakenham,10,,0.2,0,10,5,4,1,1,4,No,High,Afternoon,Weekly shop,No,52.3,Card,Low,A bit disappointing overall today doing a bigger shop than usual. pricing on the shelf didn’t match the till. Customer service felt rushed and queues were far too long. Hope it’s better next time.
44,18938,Female,Wymondham,9.3,1.1,0.42,1,4,1,5,3,,2,Yes,Low,Morning,Top-up,No,70.1,Apple Pay,High,"A good experience overall on my way home doing just a couple of items. prices felt reasonable and self-checkout was smooth. Overall, a solid experience."
63,14947,Male,Wymondham,12,1,0.31,1,4,8,24,15,4,1,Yes,Low,Evening,Bulk shop,Yes,47.5,Card,Very High,
49,30728,Female,Wymondham,8.4,1.3,0.62,1,5,3,5,2,2,2,Yes,Low,Afternoon,Top-up,No,60.6,Card,Very High,Superb visit — very happy after work doing some bits for dinner. fresh food quality was good. Access was straightforward and offers were clearly labelled and the entrance and exits felt well managed.
20,38591,Female,Wymondham,8.7,1.2,0.68,0,4,1,4,2,0,2,Yes,Low,Evening,Top-up,Yes,134.9,Card,Very High,Really great shop from start to finish after work doing a few essentials. parking was easy and bakery items were great.
55,35267,Prefer not to say,Wymondham,4.9,1.5,0.22,1,10,10,16,5,2,6,Yes,Medium,Afternoon,Bulk shop,Yes,69.6,Card,Very High,"Excellent experience after work doing a full weekly shop. the entrance and exits felt well managed and the loyalty discounts worked smoothly. Although, it didn’t feel very clean. This is why I keep coming back."
49,26642,Male,Dereham,10.9,1.6,0.3,1,7,13,19,6,7,1,Yes,Medium,Afternoon,Bulk shop,Yes,97.9,Cash,High,Pretty pleased with how it went after work doing some bits for dinner. quitethe loyalty discounts worked smoothly.
72,26452,Female,Dereham,9.3,1.8,0.11,0,3,1,6,2,0,2,Yes,Low,Afternoon,Top-up,No,46.2,Card,Very High,
51,20951,Male,Norwich,12.4,0.8,0.27,3,18,4,8,6,2,4,No,Medium,Morning,Weekly shop,No,88.2,Card,Low,
29,,Female,Dereham,15.6,1.7,0.45,1,6,2,2,1,0,4,Yes,Low,Morning,Top-up,Yes,47.2,Google Pay,Medium,Neither great nor terrible today doing a quick top-up shop. a bitparking was a hassle. Room to improve in places.
51,32391,Male,Fakenham,15.3,0.8,0.14,0,5,3,1,1,0,5,No,Medium,Afternoon,Top-up,Yes,67.7,Cash,Medium,
69,45414,Male,Dereham,16.1,,0.01,0,15,1,6,1,1,3,No,Medium,Morning,Weekly shop,Yes,89.7,Card,Very Low,"Honestly, this was a frustrating shop today doing a bigger shop than usual. quitethe substitutions didn’t make sense and Still, someone on the floor actually walked me to the right aisle. It was hard to get help and aisles were cluttered."
43,20332,Male,Wymondham,7.4,0.8,0.38,1,4,4,10,8,4,5,Yes,Low,Afternoon,Weekly shop,Yes,72.7,Apple Pay,High,"Generally a positive visit today doing a few essentials. getting in and out was hassle-free. Overall, a solid experience."
36,52141,Male,Fakenham,10.4,,0.41,3,6,2,3,0,1,8,No,High,Evening,Top-up,Yes,70.9,Card,Medium,"A fairly standard shopping trip at the weekend doing a bigger shop than usual. overallnot great value for money, and But, aisles were tidy. The machine rejected my card once. Room to improve in places."
35,31275,Female,Wymondham,14.6,1,0.21,1,6,3,5,4,3,6,No,Low,Evening,Weekly shop,Yes,44.6,Card,Medium,Neither great nor terrible at the weekend doing a quick top-up shop. at timesnot great value for money. Someone on the floor actually walked me to the right aisle. Room to improve in places.
41,64015,Male,Dereham,,,0.09,1,10,2,1,1,1,4,No,High,Evening,Top-up,No,78.4,Card,Very Low,"Honestly, this was a frustrating shop after work doing some bits for dinner. reallythe service was abrupt, and there didn’t seem to be enough staff. I had to query a price at the till and the layout felt confusing. It needs serious improvement."
28,27865,Female,Thetford,12.4,2.8,0.2,1,6,2,1,1,0,6,No,High,Afternoon,Top-up,Yes,50.7,Unknown,Very Low,"Honestly, this was a frustrating shop this morning doing just a couple of items. several shelves were empty and checkout took ages. I don’t plan to return soon."
33,34033,Male,Fakenham,12.8,0.8,0.54,1,5,0,3,5,2,2,Yes,Medium,Afternoon,Top-up,No,73.9,Card,Medium,Neither great nor terrible after work doing a quick top-up shop. produce didn’t look fresh and help was available when I needed it.
75,19597,Male,Wymondham,10.6,1.5,0.21,1,9,3,9,6,1,5,Yes,Medium,Evening,Weekly shop,Yes,69.9,Card,High,I was happy with my visit after work doing just a couple of items. the promotions were easy to understand.
75,33612,Male,nNorwich,15.4,3,0.15,1,10,3,12,11,3,0,No,High,Evening,Bulk shop,Yes,73.5,Google Pay,Low,A bit disappointing overall after work doing some bits for dinner. I had to change my meal plan because things weren’t there. Pricing on the shelf didn’t match the till.
20,121549,Male,Thetford,14.4,,0.27,0,4,2,1,1,0,5,Yes,High,Morning,Top-up,Yes,45,Card,Low,Not the best visit this morning doing a quick top-up shop. I had to query a price at the till and checkout took ages. Aisles were cluttered and there didn’t seem to be enough staff. Not sure I’ll rush back.
34,53639,Male,Dereham,14.6,2.7,0.36,0,4,0,1,2,2,3,Yes,High,Evening,Top-up,Yes,70.8,Card,Medium,"A fairly standard shopping trip at the weekend doing a few essentials. somewhatI couldn’t tell what was actually on deal, and I couldn’t find anyone on the shop floor. It did the job."
46,18580,Male,Dereham,9.5,2.7,0.21,2,11,7,14,3,5,3,Yes,Medium,Afternoon,Weekly shop,Yes,46.5,Card,High,"I was happy with my visit at the weekend doing a few essentials. the promotions were easy to understand, and staff opened another till quickly. The shop felt well looked after."
25,,Non-binary,Thetford,11.1,1.5,0.58,0,6,3,31,4,4,2,Yes,Medium,Afternoon,Bulk shop,No,54.5,Google Pay,Very High,Superb visit — very happy this afternoon doing a full weekly shop. everything I needed was in stock and help was available when I needed it. It was easy to get around.
23,19701,Female,Wymondham,11.4,,0.53,1,7,2,4,3,3,3,No,High,Morning,Top-up,Yes,69,Card,Medium,
25,54032,Female,Dereham,12.6,3.7,0.41,0,4,8,10,2,10,4,Yes,Medium,Morning,Bulk shop,Yes,52.4,Apple Pay,Medium,"It was fine, nothing special this afternoon doing just a couple of items. loyalty pricing was confusing, and the team were really helpful. No major complaints, but nothing stood out either."
75,28712,Male,Fakenhavm,8.3,2.2,0.09,0,4,2,3,2,0,3,Yes,Medium,Morning,Top-up,No,57.5,Card,High,A good experience overall this afternoon doing a quick top-up shop. help was available when I needed it and produce looked fresh. Good enough that I’ll come back.
20,25968,Male,Norwich,12.5,,0.66,1,5,2,9,5,6,3,Yes,Medium,Morning,Weekly shop,No,69.8,Card,Medium,"Neither great nor terrible on my way home doing a full weekly shop. the fresh areas looked spotless, and But, the store felt understaffed. Queues were far too long. It did the job."
37,22435,Male,Thetford,9.3,0.7,0.36,3,14,7,5,5,6,2,Yes,Medium,Morning,Weekly shop,Yes,66.9,Apple Pay,High,
62,30993,Female,Thetford,19.1,3,0.03,0,12,6,8,7,1,8,No,High,Evening,Bulk shop,No,88.8,Card,Very Low,
50,67923,Male,Thetford,20.3,,0,3,15,20,6,5,8,5,No,High,Evening,Bulk shop,Yes,78.5,Apple Pay,Very Low,
55,70443,Female,Wymondham,7.9,,0.41,0,5,1,1,1,1,4,Yes,Low,Afternoon,Top-up,No,54.1,,High,Pretty pleased with how it went this morning doing a bigger shop than usual. pleasantlythe entrance and exits felt well managed and it was easy to get around. Would recommend based on today.
35,20831,Non-binary,Theford,16,0.8,0.57,1,12,8,9,3,2,3,Yes,Medium,Evening,Weekly shop,No,37.8,Card,Medium,A fairly standard shopping trip after work doing just a couple of items. bakery items were great. Room to improve in places.
315,28837,Male,Thetford,11.7,1.2,0.46,0,2,0,2,2,1,2,No,High,Afternoon,Top-up,Yes,36.9,Card,Medium,
35,78381,Female,Wymondham,10.4,1.7,0.33,1,17,10,3,3,2,1,No,Medium,Evening,Weekly shop,Yes,80.5,Card,Low,
56,48080,Prefer not to say,Norwich,14.6,1.4,0,1,8,6,8,8,1,5,No,Medium,Morning,Weekly shop,No,48,Apple Pay,Very Low,Not acceptable today on my way home doing a bigger shop than usual. especiallyI had to wait for an approval at self-checkout. I couldn’t find basic staples and i asked for help and felt brushed off. It needs serious improvement.
20,22279,Male,Wymondham,15.2,1.8,0.55,0,7,1,2,2,0,1,Yes,High,Evening,Top-up,Yes,65,Google Pay,Low,"Left feeling underwhelmed this afternoon doing just a couple of items. especiallyaisles were cluttered, and the car park felt cramped. Offers weren’t clearly marked. Not sure I’ll rush back."
75,17532,Male,Wymondham,11.8,1,0.02,2,6,8,10,15,4,3,Yes,Medium,Evening,Bulk shop,No,48.8,Cash,Medium,"Neither great nor terrible today doing a bigger shop than usual. parking was easy. No major complaints, but nothing stood out either."
66,,Female,Norwich,20.9,5.2,0.02,0,7,5,5,3,1,2,Yes,High,Evening,Weekly shop,No,87.3,Cash,Very Low,Not acceptable today at the weekend doing some bits for dinner. everyone looked stretched and I couldn’t tell what was actually on deal. Self-checkout kept flagging errors. It needs serious improvement.
57,78563,Female,Dereham,16.9,2,0.06,0,7,1,1,1,0,3,No,Medium,Evening,Top-up,Yes,52.4,Card,Low,A bit disappointing overall this morning doing a full weekly shop. I couldn’t tell what was actually on deal. The queue barely moved and prices felt high. Could be improved.
37,31492,Female,Norwich,12,1,0.34,3,3,11,17,19,5,0,Yes,Medium,Afternoon,Bulk shop,Yes,72.3,Card,Medium,"Neither great nor terrible this morning doing a full weekly shop. I couldn’t find the discounts advertised. The store felt understaffed. No major complaints, but nothing stood out either."
69,16490,Male,Fakenham,11.7,,0.11,0,2,2,5,2,0,3,Yes,Medium,Afternoon,Top-up,No,86.3,Card,High,
49,33788,Male,Dereham,12.1,0.7,0.09,0,9,6,3,8,2,1,No,High,Morning,Weekly shop,No,51.2,Card,Low,
51,38267,Male,Fakenham,10.6,1.3,0.24,3,10,10,7,9,3,2,No,Low,Afternoon,Weekly shop,Yes,49.5,Cash,High,"Pretty pleased with how it went on my way home doing just a couple of items. the entrance and exits felt well managed, and everything was where I expected it to be."
20,90724,Male,Norwich,17.6,1.2,0.16,0,5,4,1,1,0,3,No,Medium,Afternoon,Top-up,No,94.1,Google Pay,Very Low,Really unhappy with this visit this morning doing some bits for dinner. seriouslythere didn’t seem to be enough staff. I don’t plan to return soon.
20,49047,Female,Wymondham,13.3,1.3,0.82,0,4,1,3,2,0,4,Yes,High,Afternoon,Top-up,No,50.8,Apple Pay,Medium,"An average visit overall after work doing a full weekly shop. a bitit felt clean and organised and the promotions were easy to understand. No major complaints, but nothing stood out either."
52,113152,Male,Fakenham,10.1,,0.06,1,15,3,6,5,2,10,Yes,Medium,Afternoon,Weekly shop,Yes,73.9,,Very Low,
37,19252,Female,Wymondham,12.4,1.1,0.5,2,5,6,18,10,10,9,No,Medium,Afternoon,Bulk shop,No,64.7,Card,High,Generally a positive visit at the weekend doing a quick top-up shop. veryit felt safe and well organised. Meat and veg looked excellent. I’d happily shop here again.
22,21912,Male,Dereham,11,1.3,0.77,0,4,2,1,1,2,1,No,Low,Morning,Top-up,Yes,56.7,Google Pay,High,Pretty pleased with how it went at the weekend doing a few essentials. a colleague helped me find what I needed and the receipt matched the shelf prices.
